
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
     15:52:31    d7c97fc0 TPaintControl::ShowList begin, number - 1
     15:52:31    d7c97fc0 Open access for show list succsessfully, number - 1
